DealID,LeadSource,DealStage,Amount,CloseDate,EntryDate,Salesperson
2698,Referral,Closed Won,22638,2020-03-24,2020-03-19,Liz Bennett
6827,Referral,Closed Won,17500,2023-10-10,2023-10-03,Liz Bennett
62,Referral,Lead,2,2023-06-19,2023-06-18,Liz Bennett
2624,Referral,Prospect,11200,2024-10-25,2024-10-23,Liz Bennett
4191,Referral,Negotiating,10500,2024-11-23,2024-11-18,Liz Bennett
9040,Referral,Closed Won,9893,2023-12-22,2023-12-18,Liz Bennett
4099,Referral,Closed Won,9450,2020-09-29,2020-09-24,Liz Bennett
4278,Referral,Closed Won,9100,2023-04-21,2023-04-17,Liz Bennett
8489,Referral,Negotiating,8750,2023-02-05,2023-02-03,Liz Bennett
6426,Referral,Closed Won,8400,2023-05-28,2023-05-24,Liz Bennett
2506,Referral,Negotiating,8188,2020-07-28,2020-07-26,Liz Bennett
166,Referral,Closed Won,8160,2020-09-13,2020-09-09,Liz Bennett
684,Referral,Prospect,8000,2024-11-05,2024-11-05,Liz Bennett
6627,Referral,Closed Won,7000,2020-12-22,2020-12-15,Liz Bennett
510,Referral,Closed Won,6355,2021-03-23,2021-03-17,Liz Bennett
6521,Referral,Closed Won,5444,2024-01-19,2024-01-17,Liz Bennett
7667,Referral,Closed Won,5400,2023-10-09,2023-10-05,Liz Bennett
6341,Referral,Negotiating,5200,2024-10-10,2024-10-06,Liz Bennett
8859,Referral,Negotiating,5084,2024-10-21,2024-10-14,Liz Bennett
5885,Referral,Negotiating,4913,2023-03-16,2023-03-14,Liz Bennett
8991,Referral,Closed Won,4900,2021-12-31,2021-12-25,Liz Bennett
1086,Referral,Closed Won,4900,2023-03-06,2023-03-02,Liz Bennett
1225,Referral,Lead,2,2023-12-06,2023-12-05,Liz Bennett
1804,Referral,Negotiating,4664,2024-09-27,2024-09-23,Liz Bennett
8205,Referral,Prospect,4644,2021-11-09,2021-11-09,Liz Bennett
2493,Referral,Closed Won,4549,2020-11-24,2020-11-20,Liz Bennett
7819,Referral,Negotiating,4536,2023-10-27,2023-10-22,Ros Pike
7773,Referral,Closed Won,4500,2023-12-03,2023-11-26,Ros Pike
9166,Referral,Negotiating,4477,2023-06-27,2023-06-25,Ros Pike
7244,Referral,Negotiating,4416,2024-08-23,2024-08-18,Ros Pike
9742,Referral,Closed Won,4405,2021-11-13,2021-11-09,Ros Pike
4298,Referral,Negotiating,4368,2024-08-27,2024-08-24,Ros Pike
4225,Referral,Lead,2,2023-10-04,2023-10-01,Ros Pike
9271,Referral,Negotiating,4306,2024-08-29,2024-08-22,Ros Pike
9640,Referral,Negotiating,4298,2021-02-01,2021-01-29,Ros Pike
5918,Referral,Closed Won,4229,2021-09-24,2021-09-18,Ros Pike
3281,Referral,Negotiating,4164,2020-04-10,2020-04-06,Ros Pike
6621,Referral,Closed Won,4164,2024-01-19,2024-01-14,Ros Pike
1451,Referral,Lead,2,2021-07-21,2021-07-20,Ros Pike
6536,Referral,Closed Won,4008,2020-11-23,2020-11-18,Ros Pike
2183,Referral,Closed Won,4000,2023-05-12,2023-05-08,Ros Pike
319,Referral,Closed Won,3992,2020-11-10,2020-11-05,Ros Pike
5199,Referral,Closed Won,3930,2023-03-09,2023-03-04,Ros Pike
6252,Referral,Lead,2,2020-12-05,2020-12-03,Ros Pike
9426,Referral,Negotiating,3785,2020-09-18,2020-09-13,Ros Pike
1247,Referral,Negotiating,3611,2020-12-15,2020-12-13,Ros Pike
5171,Referral,Negotiating,3505,2023-05-30,2023-05-28,Ros Pike
7584,Referral,Closed Won,3500,2020-03-26,2020-03-22,Ros Pike
9650,Referral,Closed Won,3407,2023-12-01,2023-11-27,Ros Pike
7915,Referral,Negotiating,3405,2024-06-22,2024-06-18,Ros Pike
9858,Referral,Closed Won,3394,2021-03-31,2021-03-27,Ros Pike
3274,Referral,Negotiating,3360,2024-05-13,2024-05-09,Ros Pike
